,nimi
0,Alajärvi                                
1,Alavieska                               
2,Alavus                                  
3,Asikkala                                
4,Askola                                  
5,Aura                                    
6,Järvenpää                               
7,Akaa                                    
8,Brändö                                  
9,Eckerö                                  
10,Enonkoski                               
11,Evijärvi                                
12,Forssa                                  
13,Föglö                                   
14,Geta                                    
15,Haapajärvi                              
16,Karkkila                                
17,Enontekiö                               
18,Espoo                                   
19,Eura                                    
20,Eurajoki                                
21,Ypäjä                                   
22,Finström                                
23,Haapavesi                               
24,Hailuoto                                
25,Hyrynsalmi                              
26,Halsua                                  
27,Hamina                                  
28,Hammarland                              
29,Hankasalmi                              
30,Hanko                                   
31,Harjavalta                              
32,Hartola                                 
33,Hattula                                 
34,Hyvinkää                                
35,Hausjärvi                               
36,Heinävesi                               
37,Helsinki                                
38,Vantaa                                  
39,Hämeenkyrö                              
40,Padasjoki                               
41,Hirvensalmi                             
42,Hollola                                 
43,Honkajoki                               
44,Huittinen                               
45,Humppila                                
46,Hämeenlinna                             
47,Heinola                                 
48,Ii                                      
49,Iisalmi                                 
50,Iitti                                   
51,Ikaalinen                               
52,Ilmajoki                                
53,Ilomantsi                               
54,Kangasala                               
55,Inari                                   
56,Inkoo                                   
57,Isojoki                                 
58,Isokyrö                                 
59,Imatra                                  
60,Janakkala                               
61,Joensuu                                 
62,Jokioinen                               
63,Joutsa                                  
64,Juuka                                   
65,Juupajoki                               
66,Jomala                                  
67,Joroinen                                
68,Juva                                    
69,Jyväskylä                               
70,Jämijärvi                               
71,Jämsä                                   
72,Kaarina                                 
73,Kaavi                                   
74,Kajaani                                 
75,Kalajoki                                
76,Kangasniemi                             
77,Kankaanpää                              
78,Kannonkoski                             
79,Kannus                                  
80,Karijoki                                
81,Karstula                                
82,Karvia                                  
83,Kaskinen                                
84,Kauhajoki                               
85,Kauhava                                 
86,Kauniainen                              
87,Kaustinen                               
88,Keitele                                 
89,Kemi                                    
90,Keminmaa                                
91,Kempele                                 
92,Kerava                                  
93,Keuruu                                  
94,Kihniö                                  
95,Kinnula                                 
96,Kirkkonummi                             
97,Kitee                                   
98,Kittilä                                 
99,Kiuruvesi                               
100,Kivijärvi                               
101,Kokemäki                                
102,Kokkola                                 
103,Kolari                                  
104,Konnevesi                               
105,Kontiolahti                             
106,Korsnäs                                 
107,Koski Tl                                
108,Kotka                                   
109,Kouvola                                 
110,Kristiinankaupunki                      
111,Taivalkoski                             
112,Kruunupyy                               
113,Kuhmo                                   
114,Kuhmoinen                               
115,Kumlinge                                
116,Kurikka                                 
117,Kustavi                                 
118,Taivassalo                              
119,Kuopio                                  
120,Kuortane                                
121,Kuusamo                                 
122,Outokumpu                               
123,Kyyjärvi                                
124,Kärkölä                                 
125,Kärsämäki                               
126,Kökar                                   
127,Kemijärvi                               
128,Kemiönsaari                             
129,Lahti                                   
130,Laihia                                  
131,Laitila                                 
132,Lapinlahti                              
133,Lappajärvi                              
134,Lappeenranta                            
135,Lapinjärvi                              
136,Lapua                                   
137,Laukaa                                  
138,Lemi                                    
139,Lemland                                 
140,Lempäälä                                
141,Leppävirta                              
142,Lestijärvi                              
143,Lieksa                                  
144,Lieto                                   
145,Liminka                                 
146,Liperi                                  
147,Loimaa                                  
148,Loppi                                   
149,Loviisa                                 
150,Luhanka                                 
151,Lumijoki                                
152,Lumparland                              
153,Luoto                                   
154,Miehikkälä                              
155,Luumäki                                 
156,Lohja                                   
157,Parainen                                
158,Maalahti                                
159,Maarianhamina - Mariehamn               
160,Marttila                                
161,Nousiainen                              
162,Masku                                   
163,Merijärvi                               
164,Merikarvia                              
165,Oulu                                    
166,Mikkeli                                 
167,Muhos                                   
168,Multia                                  
169,Muonio                                  
170,Mustasaari                              
171,Muurame                                 
172,Mynämäki                                
173,Myrskylä                                
174,Mäntsälä                                
175,Mäntyharju                              
176,Mänttä-Vilppula                         
177,Naantali                                
178,Nakkila                                 
179,Nivala                                  
180,Nokia                                   
181,Nurmes                                  
182,Nurmijärvi                              
183,Närpiö                                  
184,Orimattila                              
185,Oripää                                  
186,Orivesi                                 
187,Oulainen                                
188,Paimio                                  
189,Paltamo                                 
190,Parikkala                               
191,Parkano                                 
192,Pelkosenniemi                           
193,Perho                                   
194,Pertunmaa                               
195,Petäjävesi                              
196,Pieksämäki                              
197,Pielavesi                               
198,Pietarsaari                             
199,Pedersören kunta                        
200,Pihtipudas                              
201,Pirkkala                                
202,Punkalaidun                             
203,Polvijärvi                              
204,Pomarkku                                
205,Pori                                    
206,Pornainen                               
207,Posio                                   
208,Pudasjärvi                              
209,Pukkila                                 
210,Pyhäjärvi                               
211,Puolanka                                
212,Puumala                                 
213,Pyhtää                                  
214,Pyhäjoki                                
215,Pyhäntä                                 
216,Pyhäranta                               
217,Pälkäne                                 
218,Pöytyä                                  
219,Porvoo                                  
220,Rantasalmi                              
221,Ranua                                   
222,Rauma                                   
223,Rautalampi                              
224,Raahe                                   
225,Raisio                                  
226,Tammela                                 
227,Rautavaara                              
228,Rautjärvi                               
229,Reisjärvi                               
230,Riihimäki                               
231,Ristijärvi                              
232,Rovaniemi                               
233,Ruokolahti                              
234,Ruovesi                                 
235,Rusko                                   
236,Rääkkylä                                
237,Raasepori                               
238,Saarijärvi                              
239,Tampere                                 
240,Salla                                   
241,Salo                                    
242,Saltvik                                 
243,Savitaipale                             
244,Seinäjoki                               
245,Sievi                                   
246,Siikainen                               
247,Sauvo                                   
248,Ulvila                                  
249,Savonlinna                              
250,Savukoski                               
251,Sotkamo                                 
252,Siikajoki                               
253,Siilinjärvi                             
254,Simo                                    
255,Sipoo                                   
256,Sonkajärvi                              
257,Sottunga                                
258,Siuntio                                 
259,Sodankylä                               
260,Soini                                   
261,Somero                                  
262,Sulkava                                 
263,Suomussalmi                             
264,Suonenjoki                              
265,Sysmä                                   
266,Sund                                    
267,Säkylä                                  
268,Vaala                                   
269,Sastamala                               
270,Siikalatva                              
271,Taipalsaari                             
272,Tervo                                   
273,Tervola                                 
274,Teuva                                   
275,Tohmajärvi                              
276,Toholampi                               
277,Toivakka                                
278,Tornio                                  
279,Turku                                   
280,Viitasaari                              
281,Pello                                   
282,Tuusniemi                               
283,Tuusula                                 
284,Tyrnävä                                 
285,Urjala                                  
286,Utajärvi                                
287,Varkaus                                 
288,Vimpeli                                 
289,Virolahti                               
290,Utsjoki                                 
291,Uurainen                                
292,Uusikaarlepyy                           
293,Uusikaupunki                            
294,Vaasa                                   
295,Valkeakoski                             
296,Valtimo                                 
297,Vehmaa                                  
298,Vesanto                                 
299,Vesilahti                               
300,Veteli                                  
301,Vieremä                                 
302,Vihti                                   
303,Virrat                                  
304,Vårdö                                   
305,Vöyri                                   
306,Ylitornio                               
307,Ylivieska                               
308,Ylöjärvi                                
309,Ähtäri                                  
310,Äänekoski                               
